Gender,Height,Weight
Male,73.847017017515,241.893563180437
Male,68.7819040458903,162.310472521300
Male,74.1101053917849,212.7408555565
Male,71.7309784033377,220.042470303077
Male,69.8817958611153,206.349800623871
Male,67.2530156878065,152.212155757083
Male,68.7850812516616,183.927888604031
Male,68.3485155115879,167.971110489509
Male,67.018949662883,175.92944039571
Male,63.4564939783664,156.399676387112
Male,71.1953822829745,186.604925560358
Male,71.6408051192206,213.741169489411
Male,64.7663291334055,167.127461073476
Male,69.2830700967204,189.446181386738
Male,69.2437322298112,186.434168021239
Male,67.6456197004212,172.186930058117
Male,72.4183166259878,196.028506330482
Male,63.974325721061,172.883470208780
Male,69.6400598997523,185.983957573130
Male,67.9360048540095,182.426648013226
Male,67.9150501938206,174.115929081393
Male,69.4394398680395,197.73142161472
Male,66.1491319608781,149.173566007975
Male,75.2059736142212,228.761780615196
Male,67.8931963386043,162.006651848287
Male,68.1440327982008,192.343976579187
Male,69.0896314289256,184.435174408406
Male,72.8008435165003,206.828189420354
Male,67.4212422817167,175.213922399227
Male,66.0290340048182,168.640810039015
Male,67.577153942735,181.432713008126
Male,68.2465686016242,198.658673326418
Male,73.8261270026308,237.916735863185
Male,69.8024643604904,173.041255909233
Male,65.9595777848988,160.683916639879
Male,71.0790175757451,188.602919070666
Male,66.5961965372077,208.345694035109
Male,68.9515350928246,193.435118452271
Male,68.2444617923064,174.109693790620
Male,72.3168251228452,197.368589249335
Male,71.8154204495308,201.620666747742
Male,65.2370495188386,181.011973240364
Male,70.6405300907292,182.122485978660
Male,64.731925597255,177.549263423371
Male,67.1035511824075,164.974580682475
Male,65.1174848880457,165.717112190107
Male,71.7012340230177,193.094163543063
Male,66.8328782059274,180.683886970857
Male,66.4712752615182,172.773722928412
Female,58.9107320370127,102.088326367840
Female,65.2300125077128,141.305822601420
Female,63.3690037584139,131.041402692995
Female,64.4799974256081,128.171511221632
Female,61.7930961472815,129.781407047572
Female,65.9680189539591,156.802082613991
Female,62.8503786429821,114.969038250962
Female,65.6521564350254,165.083001212576
Female,61.8902337378544,111.676199211845
Female,63.6778681520585,104.151559641935
Female,68.1011722359871,166.575660760601
Female,61.7988785298549,106.233686988457
Female,63.3714589617276,128.118169123676
Female,58.8958863500041,101.682613361014
Female,58.4382490995692,98.1926209281421
Female,60.809798678611,126.915463276282
Female,70.1286528332314,151.254270351714
Female,62.2574296463807,115.797393408160
Female,61.7350902197,107.866872355221
Female,63.0595566947049,145.589929145704
Female,59.6678488000619,126.355255679648
Female,64.0894064651938,134.211017209693
Female,60.5780628792393,118.242811799265
Female,62.114866399197,145.337359446736
Female,56.1594580191187,90.8152556552271
Female,67.449272973975,170.830353595279
Female,65.0651446274894,156.163126863795
Female,65.5288561745669,138.989535511843
Female,63.1496527400666,124.193771665091
Female,58.8743006695406,102.927077538710
Female,66.0212319116557,141.656245159955
Female,61.5250911236378,133.528507704123
Female,63.5843104973355,133.189403796986
Female,59.7867629089699,116.904871470824
Female,67.1492063558276,139.552814769724
Female,62.323087083779,127.130913031099
Female,65.1476595576194,134.662024671615
Female,70.6285964525231,170.148468502777
Female,67.3874511948522,164.892658411008
Female,68.130408809775,177.240131210861
Female,63.4884596395885,124.052871755915
Female,61.1630652757277,107.23544334682
Female,70.7101395263283,161.363484297774
Female,65.2088548097869,137.703041572099
Female,61.3594893280584,123.420134597368
Female,62.0717151894243,142.663619361408
Female,65.4048818826678,144.025941163566
Female,61.8233681172395,112.001861732583
Female,62.9471972521971,123.684238635036
Female,64.3630337197069,133.183927036323
